,Artist ID,Name,Nationality,Gender,Birth Year,Death Year,age
0,1,Robert Arneson,American,Male,1930.0,1992.0,62.0
9,11,Jean (Hans) Arp,French,Male,1886.0,1966.0,80.0
11,13,J. Arrelano Fischer,Mexican,Male,1911.0,1995.0,84.0
12,15,Folke Arstrom,Swedish,Male,1907.0,1997.0,90.0
13,16,Cristobal Arteche,Spanish,Male,1900.0,1964.0,64.0
15,19,Richard Artschwager,American,Male,1923.0,2013.0,90.0
16,21,Ruth Asawa,American,Female,1926.0,2013.0,87.0
18,23,Charles Robert Ashbee,British,Male,1863.0,1942.0,79.0
20,25,E. M. Ashe,American,Male,1867.0,1941.0,74.0
22,27,Erik Gunnar Asplund,Swedish,Male,1885.0,1940.0,55.0
25,31,Dana Atchley,American,Female,1941.0,2000.0,59.0
28,34,Alvar Aalto,Finnish,Male,1898.0,1976.0,78.0
29,35,Aino Aalto,Finnish,Female,1894.0,1949.0,55.0
31,37,Jules Aarons,American,Male,1921.0,2008.0,87.0
33,39,James Abbe,American,Male,1883.0,1973.0,90.0
34,40,Jussuff Abbo,British,Male,1888.0,1953.0,65.0
35,41,Berenice Abbott,American,Female,1898.0,1991.0,93.0
36,42,Nobuya Abe,Japanese,Male,1913.0,1971.0,58.0
40,47,Raimund Abraham,American,Male,1933.0,2010.0,77.0
42,50,Gerald Abramovitz,British,Male,1928.0,2011.0,83.0
43,51,William Ross Abrams,American,Male,1920.0,2007.0,87.0
48,56,Luis Alberto Acuña,Colombian,Male,1904.0,1994.0,90.0
49,57,Henri Georges Adam,French,Male,1904.0,1967.0,63.0
50,58,Antoine Samuel Adam-Salomon,French,Male,1818.0,1881.0,63.0
52,60,Ansel Adams,American,Male,1902.0,1984.0,82.0
54,62,Clinton Adams,American,Male,1918.0,2002.0,84.0
55,63,Dacres Adams,British,Male,1864.0,1951.0,87.0
57,65,Kenneth M. Adams,American,Male,1897.0,1966.0,69.0
60,68,Charles Addams,American,Male,1912.0,1988.0,76.0
61,69,Allan Adler,American,Male,1916.0,2002.0,86.0
62,70,Jankel Adler,Polish,Male,1895.0,1949.0,54.0
63,71,Virginia Admiral,American,Female,1915.0,2000.0,85.0
65,74,Roy Adzak,British,Male,1927.0,1987.0,60.0
67,77,Afro (Afro Basaldella),Italian,Male,1912.0,1976.0,64.0
70,80,Mehemed Fehmy Agha,American,Male,1896.0,1978.0,82.0
72,82,Peter Agostini,American,Male,1913.0,1993.0,80.0
73,83,Olympe Aguado de las Marismas,French,Male,1827.0,1894.0,67.0
74,84,Dongkuk S. Ahn,American,Male,1937.0,2013.0,76.0
75,85,Aarne Aho,Finnish,Male,1904.0,1978.0,74.0
76,86,Otl Aicher (also known as Otto Aicher),German,Male,1922.0,1991.0,69.0
77,87,Lucien Aigner,American,Male,1901.0,1999.0,98.0
78,88,Gregory Ain,American,Male,1908.0,1988.0,80.0
79,89,Edgar Ainsworth,British,Male,1906.0,1975.0,69.0
80,91,Roberto Aizenberg,Argentine,Male,1928.0,1996.0,68.0
84,95,Alastair (Hans H. Voight),German,Male,1887.0,1969.0,82.0
85,96,Anni Albers,American,Female,1899.0,1994.0,95.0
86,97,Josef Albers,American,Male,1888.0,1976.0,88.0
88,99,Joan Albert,American,Female,1943.0,2012.0,69.0
89,100,Ivan Le Lorraine Albright,American,Male,1897.0,1983.0,86.0
91,103,Albert Alcalay,American,Male,1917.0,2008.0,91.0
92,104,L. (Alfred Lewin Copley) Alcopley,American,Male,1910.0,1992.0,82.0
101,115,Yves Alix,French,Male,1890.0,1969.0,79.0
102,116,Wobbe Alkema,Dutch,Male,1900.0,1984.0,84.0
104,118,Alexander Alland,American,Male,1902.0,1989.0,87.0
107,121,Adrian Allinson,British,Male,1890.0,1959.0,69.0
109,124,Glen Alps,American,Male,1914.0,1996.0,82.0
111,127,Gerhard Altenbourg,German,Male,1926.0,1989.0,63.0
113,129,Harold Altman,American,Male,1924.0,2003.0,79.0
115,132,John Altoon,American,Male,1925.0,1969.0,44.0
116,135,Manuel Álvarez Bravo,Mexican,Male,1902.0,2002.0,100.0
119,138,Edmond-François Aman Jean,French,Male,1858.0,1936.0,78.0
124,143,Irving Amen,American,Male,1918.0,2011.0,93.0
127,148,Florencia de Amesti,Chilean,Female,1925.0,2006.0,81.0
128,149,Cuno Amiet,Swiss,Male,1868.0,1961.0,93.0
129,150,Francisco Amighetti Ruiz,Costa Rican,Male,1907.0,1998.0,91.0
132,154,Mauricio Amster Cats,Chilean,Male,1907.0,1980.0,73.0
136,159,Gunnar Aagaard Andersen,Danish,Male,1919.0,1982.0,63.0
138,161,Clarence William Anderson,American,Male,1891.0,1971.0,80.0
139,162,Carl Anderson,American,Male,1903.0,1989.0,86.0
141,164,Jeremy Anderson,American,Male,1921.0,1982.0,61.0
142,165,James Anderson,British,Male,1813.0,1877.0,64.0
146,169,Paul L. Anderson,American,Male,1880.0,1956.0,76.0
149,173,Farnese de Andrade-Neto,Brazilian,Male,1926.0,1996.0,70.0
154,178,Laura Andreson,American,Female,1902.0,1999.0,97.0
156,180,Benny Andrews,American,Male,1930.0,2006.0,76.0
157,181,Emmy Andriesse,Dutch,Female,1914.0,1953.0,39.0
159,183,Manuel Angeles Ortiz,Spanish,Male,1895.0,1984.0,89.0
160,184,Ludwig Angerer,Austrian,Male,1827.0,1879.0,52.0
162,186,Raúl Anguiano,Mexican,Male,1915.0,2006.0,91.0
163,188,Sibyl Anikeef,American,Female,1896.0,1996.0,100.0
164,189,James Craig Annan,British,Male,1864.0,1946.0,82.0
165,190,Thomas Annan,British,Male,1829.0,1887.0,58.0
169,196,Stephen Antonakos,American,Male,1926.0,2013.0,87.0
171,199,Nemesio Antúnez,Chilean,Male,1918.0,1993.0,75.0
175,203,Karel Appel,Dutch,Male,1921.0,2006.0,85.0
178,207,Shusaku Arakawa,American,Male,1936.0,2010.0,74.0
179,208,Diane Arbus,American,Female,1923.0,1971.0,48.0
180,209,Aleksandr Archipenko,American,Male,1887.0,1964.0,77.0
181,211,Mordecai Ardon,Israeli,Male,1896.0,1992.0,96.0
182,212,Luis Arenal,Mexican,Male,1909.0,1985.0,76.0
183,214,Egmont Arens,American,Male,1888.0,1966.0,78.0
185,216,Avigdor Arikha,Romanian,Male,1929.0,2010.0,81.0
186,217,Gonzalo Ariza,Colombian,Male,1912.0,1995.0,83.0
189,220,Arman,American,Male,1928.0,2005.0,77.0
192,224,Kenneth Armitage,British,Male,1916.0,2002.0,86.0
193,225,John Taylor Arms,American,Male,1887.0,1953.0,66.0
194,226,John Armstrong,British,Male,1893.0,1973.0,80.0
195,227,François Arnal,French,Male,1924.0,2012.0,88.0
197,229,Eugène Atget,French,Male,1857.0,1927.0,70.0
198,230,John Atherton,American,Male,1900.0,1952.0,52.0
199,231,Anna Atkins,British,Female,1797.0,1871.0,74.0
201,233,Lawrence Atkinson,British,Male,1873.0,1931.0,58.0
203,235,Jean-Michel Atlan,French,Male,1913.0,1960.0,47.0
205,238,Carl Auböck,Austrian,Male,1924.0,1993.0,69.0
206,239,Charles Aubry,French,Male,1811.0,1877.0,66.0
208,241,Gae Aulenti,Italian,Female,1930.0,2012.0,82.0
210,243,George Ault,American,Male,1891.0,1948.0,57.0
211,244,Darrel Austin,American,Male,1907.0,1994.0,87.0
213,246,Mario Avati,Italian,Male,1921.0,2009.0,88.0
214,247,Edward Avedisian,American,Male,1936.0,2007.0,71.0
215,248,Richard Avedon,American,Male,1923.0,2004.0,81.0
216,249,Frances Avery,American,Female,1910.0,2006.0,96.0
217,250,Milton Avery,American,Male,1885.0,1965.0,80.0
220,254,Kiyoshi Awazu,Japanese,Male,1929.0,2009.0,80.0
223,257,Pierre Ayot,Canadian,Male,1943.0,1995.0,52.0
224,258,Michael Ayrton,British,Male,1921.0,1975.0,54.0
226,260,Umetaro Azechi,Japanese,Male,1902.0,1999.0,97.0
228,262,Johannes Baader,German,Male,1875.0,1955.0,80.0
229,263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),German,Male,1892.0,1927.0,35.0
230,264,Kurt W. Baasch,American,Male,1891.0,1964.0,73.0
231,265,Alice Baber,American,Female,1928.0,1982.0,54.0
233,268,Edmondo Bacci,Italian,Male,1913.0,1978.0,65.0
237,272,Francis Bacon,British,Male,1909.0,1992.0,83.0
238,273,Peggy Bacon,American,Female,1895.0,1987.0,92.0
241,277,Aquiles Badi,Argentine,Male,1894.0,1976.0,82.0
242,278,Libero Badii,Argentine,Male,1916.0,2001.0,85.0
246,282,Martin Baer,American,Male,1894.0,1961.0,67.0
247,283,Olle Baertling,Swedish,Male,1911.0,1981.0,70.0
249,285,John Bageris,American,Male,1924.0,2000.0,76.0
251,287,Malcolm Bailey,American,Male,1947.0,2011.0,64.0
254,290,Larry Bair,American,Male,1952.0,1990.0,38.0
255,291,Eugenie Baizerman,American,Female,1899.0,1949.0,50.0
256,292,Enrico Baj,Italian,Male,1924.0,2003.0,79.0
260,298,Vagrich Bakhchanyan,Russian,Male,1938.0,2009.0,71.0
262,300,Léon Bakst,Russian,Male,1866.0,1924.0,58.0
263,301,Gerard Baksteen,Dutch,Male,1887.0,1976.0,89.0
264,302,Amèrico Balán,Argentine,Male,1915.0,1986.0,71.0
265,303,Jirí Balcar,Czech,Male,1929.0,1968.0,39.0
267,305,George Baldessin,Australian,Male,1939.0,1978.0,39.0
268,307,C. Leroy Baldridge,American,Male,1889.0,1975.0,86.0
269,308,Édouard-Denis Baldus,French,Male,1813.0,1882.0,69.0
270,309,Benjamin Baldwin,American,Male,1913.0,1993.0,80.0
271,310,Joost Baljeu,Dutch,Male,1925.0,1991.0,66.0
272,311,Giacomo Balla,Italian,Male,1871.0,1958.0,87.0
273,313,R. Maxil Ballinger,American,Male,1914.0,1958.0,44.0
274,314,Theo H. Ballmer,Swiss,Male,1902.0,1965.0,63.0
276,316,John F. Balossi,American,Male,1931.0,2007.0,76.0
277,317,Balthus (Baltusz Klossowski de Rola),French,Male,1908.0,2001.0,93.0
278,318,Lewis Baltz,American,Male,1945.0,2014.0,69.0
282,322,Walter Darby Bannard,American,Male,1934.0,2016.0,82.0
283,323,John Banting,British,Male,1902.0,1972.0,70.0
284,324,Rudolf Baranik,American,Male,1920.0,1998.0,78.0
285,325,Vladimir Baranoff-Rossiné,Ukrainian,Male,1888.0,1944.0,56.0
289,331,J. Baric,French,Male,1825.0,1905.0,80.0
290,332,Richard Baringer,American,Male,1921.0,1980.0,59.0
292,334,Walter William Barker,American,Male,1921.0,2004.0,83.0
293,335,Ernst Barlach,German,Male,1870.0,1938.0,68.0
294,336,George Barnard,American,Male,1819.0,1902.0,83.0
296,338,Matthew Rackham Barnes,American,Male,1880.0,1951.0,71.0
298,342,Will Barnet,American,Male,1911.0,2012.0,101.0
300,344,Hannelore Baron,American,Female,1926.0,1987.0,61.0
303,348,Maurice Barraud,Swiss,Male,1889.0,1955.0,66.0
306,351,D. F. Barry,American,Male,1854.0,1934.0,80.0
310,355,Ruodi Barth,Swiss,Male,1921.0,1999.0,78.0
311,356,"Ralph Bartholomew, Jr.",American,Male,1907.0,1985.0,78.0
313,358,Robert Bartlett,British,Male,1922.0,1979.0,57.0
315,360,Luigi Bartolini,Italian,Male,1892.0,1963.0,71.0
318,363,Héctor Basaldua,Argentine,Male,1895.0,1976.0,81.0
319,364,Bernard Baschet,French,Male,1917.0,2015.0,98.0
320,365,François Baschet,French,Male,1920.0,2014.0,94.0
323,369,Leonard Baskin,American,Male,1922.0,2000.0,78.0
324,370,Jean-Michel Basquiat,American,Male,1960.0,1988.0,28.0
326,372,Saul Bass,American,Male,1920.0,1996.0,76.0
329,377,Josef Bato,Hungarian,Male,1888.0,1966.0,78.0
330,378,John Battan,American,Male,1943.0,1976.0,33.0
332,380,Dora M. Batty,British,Female,1900.0,1966.0,66.0
333,381,Eugen Batz,German,Male,1905.0,1986.0,81.0
335,383,André Bauchant,French,Male,1873.0,1958.0,85.0
336,384,Karl Bauer,German,Male,1868.0,1942.0,74.0
337,385,Rudolph Bauer,American,Male,1889.0,1954.0,65.0
342,391,Otto Baumberger,Swiss,Male,1889.0,1961.0,72.0
343,392,Willi Baumeister,German,Male,1889.0,1955.0,66.0
345,395,Edward Bawden,British,Male,1903.0,1989.0,86.0
348,398,Hippolyte Bayard,French,Male,1801.0,1887.0,86.0
349,399,Herbert Bayer,American,Male,1900.0,1985.0,85.0
353,404,Jean Bazaine,French,Male,1904.0,2001.0,97.0
354,405,Castera Bazile,Haitian,Male,1923.0,1966.0,43.0
355,406,William Baziotes,American,Male,1912.0,1963.0,51.0
356,407,Gifford Beal,American,Male,1879.0,1956.0,77.0
357,408,Jack Beal,American,Male,1931.0,2013.0,82.0
358,409,Lester Beall,American,Male,1903.0,1969.0,66.0
360,412,Romare Bearden,American,Male,1911.0,1988.0,77.0
361,413,Aubrey Beardsley,British,Male,1872.0,1898.0,26.0
364,416,Felice Beato,Italian,Male,1825.0,1903.0,78.0
365,417,Cecil Beaton,British,Male,1904.0,1980.0,76.0
367,419,Robert Beauchamp,American,Male,1923.0,1995.0,72.0
368,420,André Beaudin,French,Male,1895.0,1975.0,80.0
370,422,Bernd Becher,German,Male,1931.0,2007.0,76.0
371,423,Thelma Becherer,American,Female,1916.0,2008.0,92.0
373,425,Gustav K. Beck,Austrian,Male,1902.0,1983.0,81.0
375,427,Fred Becker,American,Male,1913.0,2004.0,91.0
377,429,Max Beckmann,German,Male,1884.0,1950.0,66.0
378,430,Francis Bedford,British,Male,1816.0,1894.0,78.0
379,431,René Beeh,German,Male,1886.0,1922.0,36.0
380,432,Jan Bontjes van Beek,German,Male,1899.0,1969.0,70.0
381,433,Chris Hendrik Beekman,Dutch,Male,1887.0,1964.0,77.0
382,434,Max Beerbohm,British,Male,1872.0,1956.0,84.0
385,438,Peter Behrens,German,Male,1868.0,1940.0,72.0
386,439,Edith Behring,Brazilian,Female,1916.0,1996.0,80.0
388,441,J. J. Beljon,Dutch,Male,1922.0,2002.0,80.0
389,442,Alistair Macready Bell,Canadian,Male,1913.0,1997.0,84.0
390,443,Charles M. Bell,American,Male,1848.0,1893.0,45.0
392,445,Vanessa Bell,British,Female,1879.0,1961.0,82.0
393,446,William H. Bell,American,Male,1830.0,1910.0,80.0
394,447,Ross Bellah,American,Male,1907.0,2004.0,97.0
396,449,John Bellany,British,Male,1942.0,2013.0,71.0
397,450,Rudolf Belling,German,Male,1886.0,1972.0,86.0
399,452,Hans Bellmer,German,Male,1902.0,1975.0,73.0
400,453,Ernest J. Bellocq,American,Male,1873.0,1949.0,76.0
401,455,George Bellows,American,Male,1882.0,1925.0,43.0
405,459,Antoli Pawlowitsch Belski,Russian,Male,1896.0,1971.0,75.0
407,462,Ahron Ben-Shmuel,American,Male,1903.0,1984.0,81.0
408,463,Ben-Zion,American,Male,1897.0,1987.0,90.0
410,465,W. T. Benda,American,Male,1873.0,1948.0,75.0
414,469,Luis Fernando Benedit,Argentine,Male,1937.0,2011.0,74.0
415,470,G. A. Beneker,American,Male,1882.0,1934.0,52.0
420,475,Gordon Bennett,American,Male,1933.0,2012.0,79.0
421,476,Henry Hamilton Bennett,American,Male,1843.0,1908.0,65.0
422,478,Ward Bennett,American,Male,1917.0,2003.0,86.0
423,479,Alexander Benois,Russian,Male,1870.0,1960.0,90.0
425,482,Nicholas Bentley,British,Male,1907.0,1978.0,71.0
426,483,Thomas Hart Benton,American,Male,1889.0,1975.0,86.0
427,484,Roloff Beny,Canadian,Male,1924.0,1984.0,60.0
428,485,Etienne (Istvan) Béothy,Hungarian,Male,1897.0,1962.0,65.0
429,486,Christian Bérard,French,Male,1902.0,1949.0,47.0
430,487,Roberto Berdecio,Bolivian,Male,1913.0,1996.0,83.0
431,488,Vera Berdich,American,Female,1915.0,2003.0,88.0
436,493,Jason Berger,American,Male,1924.0,2010.0,86.0
437,495,Hagbard Elis Bergh,Swedish,Male,1881.0,1954.0,73.0
439,497,Ella Bergmann-Michel,German,Female,1896.0,1971.0,75.0
441,501,Henryk Berlewi,Polish,Male,1894.0,1967.0,73.0
442,502,Eugene Berman,American,Male,1899.0,1972.0,73.0
443,503,Mieczyslaw Berman,Polish,Male,1903.0,1975.0,72.0
444,504,Sarah Berman,American,Female,1895.0,1957.0,62.0
445,505,Wallace Berman,American,Male,1926.0,1976.0,50.0
447,507,Cundo Bermúdez,Cuban,Male,1914.0,2008.0,94.0
448,508,José Ygnacio Bermudez,Cuban,Male,1922.0,1988.0,66.0
450,510,Camille Bernabé,French,Male,1808.0,1900.0,92.0
451,511,Émile Bernard,French,Male,1868.0,1941.0,73.0
452,512,Francis Bernard,French,Male,1900.0,1979.0,79.0
453,513,Valère Bernard,French,Male,1860.0,1936.0,76.0
454,514,Jerry Berndt,American,Male,1943.0,2013.0,70.0
455,515,Lucian Bernhard,American,Male,1883.0,1972.0,89.0
456,516,Ruth Bernhard,American,Female,1905.0,2006.0,101.0
457,517,Antonio Berni,Argentine,Male,1905.0,1981.0,76.0
460,520,Richard Bernstein,American,Male,1939.0,2002.0,63.0
461,521,Jean Berque,French,Male,1896.0,1954.0,58.0
462,522,Miguel Ortiz Berrocal,Spanish,Male,1933.0,2006.0,73.0
466,526,Berthold-Mahn (Charles Désiré),French,Male,1893.0,1975.0,82.0
467,527,René Bertholo,Portuguese,Male,1935.0,2005.0,70.0
468,528,Paul Berthon,French,Male,1872.0,1909.0,37.0
469,529,Jake Berthot,American,Male,1939.0,2014.0,75.0
471,531,Harry Bertoia,American,Male,1915.0,1978.0,63.0
473,533,Albert Besnard,French,Male,1849.0,1934.0,85.0
474,534,Forrest Bess,American,Male,1911.0,1977.0,66.0
478,538,Pierre Betz,French,Male,1899.0,1969.0,70.0
479,539,Wim Beuning,Dutch,Male,1914.0,1986.0,72.0
480,540,Joseph Beuys,German,Male,1921.0,1986.0,65.0
482,542,Thomas Bewick,British,Male,1753.0,1828.0,75.0
485,546,Pamela Bianco,American,Female,1906.0,1994.0,88.0
486,547,Fulvio Bianconi,Italian,Male,1915.0,1996.0,81.0
491,553,George Biddle,American,Male,1885.0,1973.0,88.0
492,554,Charles Biederman,American,Male,1906.0,2004.0,98.0
494,556,Aenne Biermann,German,Female,1898.0,1933.0,35.0
495,557,Wilson Bigaud,Haitian,Male,1931.0,2010.0,79.0
496,559,Max Bill,Swiss,Male,1908.0,1994.0,86.0
497,560,Joseph Binder,American,Male,1898.0,1972.0,74.0
498,561,Ilse Bing,American,Female,1899.0,1998.0,99.0
499,562,Robert J. Bingham,British,Male,1824.0,1870.0,46.0
501,564,Peter Birkhauser,Swiss,Male,1911.0,1976.0,65.0
503,566,Werner Bischof,Swiss,Male,1916.0,1954.0,38.0
504,567,Elmer Bischoff,American,Male,1916.0,1991.0,75.0
505,568,Isabel Bishop,American,Female,1902.0,1988.0,86.0
509,572,Antonio Bisquert Pérez,Spanish,Male,1906.0,1990.0,84.0
510,573,Julius Bissier,German,Male,1893.0,1965.0,72.0
511,574,Roger Bissière,French,Male,1888.0,1964.0,76.0
512,575,George Bissill,British,Male,1896.0,1973.0,77.0
513,576,Auguste Rosalie Bisson,French,Male,1826.0,1900.0,74.0
514,577,Louis-Auguste Bisson,French,Male,1814.0,1876.0,62.0
515,578,Arnold Bittleman,American,Male,1933.0,1985.0,52.0
517,580,Ion Bitzan,Romanian,Male,1924.0,1997.0,73.0
519,582,James Wallace Black,American,Male,1825.0,1896.0,71.0
521,584,Wendell Black,American,Male,1919.0,1972.0,53.0
523,586,Morris Blackburn,American,Male,1902.0,1979.0,77.0
525,588,Ronald Bladen,American,Male,1918.0,1988.0,70.0
526,589,Nell Blaine,American,Female,1922.0,1996.0,74.0
531,595,Edwin Howland Blashfield,American,Male,1848.0,1936.0,88.0
532,596,Arbit Blatas,American,Male,1908.0,1999.0,91.0
537,603,Albert Bloch,American,Male,1882.0,1961.0,79.0
538,604,Julius Thiengen Bloch,American,Male,1888.0,1966.0,78.0
543,609,Hyman Bloom,American,Male,1913.0,2009.0,96.0
545,611,Sandra Blow,British,Female,1925.0,2006.0,81.0
546,612,Oscar Bluemner,American,Male,1867.0,1938.0,71.0
547,613,Norman Bluhm,American,Male,1920.0,1999.0,79.0
550,616,Bernhard Blume,German,Male,1937.0,2011.0,74.0
551,617,Peter Blume,American,Male,1906.0,1992.0,86.0
552,618,Erwin Blumenfeld,German,Male,1897.0,1969.0,72.0
553,622,Instituto Lina Bo e Pietro Maria Bardi,Brazilian,Female,1914.0,1992.0,78.0
554,623,Marcello Boccacci,Italian,Male,1914.0,1996.0,82.0
555,624,Umberto Boccioni,Italian,Male,1882.0,1916.0,34.0
559,630,Alighiero Boetti,Italian,Male,1940.0,1994.0,54.0
565,636,Theodor Bogler,German,Male,1897.0,1968.0,71.0
566,637,Alexander Bogomazov,Russian,Male,1880.0,1930.0,50.0
569,640,Karl Bohrmann,German,Male,1928.0,1998.0,70.0
573,644,Richard Boix,Spanish,Male,1894.0,1949.0,55.0
574,645,Jakob (Jack) Friedrich Bollschweiler,German,Male,1888.0,1938.0,50.0
577,648,Ilya Bolotowsky,American,Male,1907.0,1981.0,74.0
579,650,Michael Bolus,British,Male,1934.0,2013.0,79.0
580,651,David Bomberg,British,Male,1890.0,1957.0,67.0
581,652,Camille Bombois,French,Male,1883.0,1970.0,87.0
586,657,Muirhead Bone,British,Male,1876.0,1953.0,77.0
587,658,Antonio Bonet,Spanish,Male,1913.0,1989.0,76.0
588,659,Rodolfo Bonetto,Italian,Male,1929.0,1991.0,62.0
589,660,Marcelo Bonevardi,Argentine,Male,1929.0,1994.0,65.0
590,661,Felix Bonfils,French,Male,1831.0,1885.0,54.0
591,662,Dusti Bongé,American,Female,1903.0,1993.0,90.0
593,665,Pierre Bonnard,French,Male,1867.0,1947.0,80.0
601,675,Enrico Bordoni,Italian,Male,1904.0,1969.0,65.0
602,676,Paul-Émile Borduas,Canadian,Male,1905.0,1960.0,55.0
604,678,Francisco Borès,Spanish,Male,1898.0,1972.0,74.0
608,686,Sándor (Alexander) Bortnyik,Hungarian,Male,1893.0,1976.0,83.0
609,687,Fritz Boscovits,Swiss,Male,1871.0,1965.0,94.0
613,691,Rodolphe-Théophile Bosshard,Swiss,Male,1889.0,1960.0,71.0
616,694,Dorr Bothwell,American,Female,1902.0,2000.0,98.0
619,698,Édouard Boubat,French,Male,1923.0,1999.0,76.0
620,699,René Robert Bouché,American,Male,1905.0,1963.0,58.0
622,701,Alice Boughton,American,Female,1865.0,1943.0,78.0
624,703,Firmin Bouisset,French,Male,1859.0,1925.0,66.0
626,705,Christine Boumeester,Dutch,Female,1904.0,1971.0,67.0
627,706,Louis Bouquet,French,Male,1885.0,1952.0,67.0
628,707,Harry Bouras,American,Male,1931.0,1993.0,62.0
629,708,Émile-Antoine Bourdelle,French,Male,1861.0,1929.0,68.0
631,710,Louise Bourgeois,American,Female,1911.0,2010.0,99.0
632,711,Fergus Bourke,Irish,Male,1934.0,2004.0,70.0
633,712,Margaret Bourke-White,American,Female,1904.0,1971.0,67.0
634,713,Samuel Bourne,British,Male,1834.0,1912.0,78.0
636,715,Jean-Louis Boussingault,French,Male,1883.0,1943.0,60.0
637,716,Henri Boutet,French,Male,1851.0,1919.0,68.0
641,720,Stanley Boxer,American,Male,1926.0,2000.0,74.0
642,721,Fiske Boyd,American,Male,1895.0,1975.0,80.0
644,723,James Henderson Boyd,Canadian,Male,1928.0,2002.0,74.0
646,725,James Boynton,American,Male,1928.0,2010.0,82.0
647,726,Paul Brach,American,Male,1924.0,2007.0,83.0
648,727,Angel Bracho,Mexican,Male,1911.0,2005.0,94.0
649,728,M. Leone Bracker,American,Male,1885.0,1937.0,52.0
653,732,William Bradley,American,Male,1868.0,1962.0,94.0
655,734,Mathew B. Brady (studio of),American,Male,1823.0,1896.0,73.0
656,736,Joe Brainard,American,Male,1942.0,1994.0,52.0
657,737,Emile Branchard,American,Male,1881.0,1938.0,57.0
658,738,Constantin Brancusi,French,Male,1876.0,1957.0,81.0
660,740,Bill Brandt,British,Male,1904.0,1983.0,79.0
661,741,Marianne Brandt,German,Female,1893.0,1983.0,90.0
662,742,Robert Brandwein,American,Male,1933.0,1972.0,39.0
663,743,Frank Brangwyn,British,Male,1867.0,1956.0,89.0
664,744,Georges Braque,French,Male,1882.0,1963.0,81.0
665,745,Brassaï (Gyula Halász),French,Male,1899.0,1984.0,85.0
666,746,John Randall Bratby,British,Male,1928.0,1992.0,64.0
668,749,Adolphe Braun,French,Male,1812.0,1877.0,65.0
670,751,Victor Brauner,Romanian,Male,1903.0,1966.0,63.0
672,753,Claudio Bravo,Chilean,Male,1936.0,2011.0,75.0
674,756,George Brecht,American,Male,1926.0,2008.0,82.0
675,757,Charles H. Breed,American,Male,1876.0,1950.0,74.0
676,758,Robert Breer,American,Male,1926.0,2011.0,85.0
678,760,KP Brehmer,German,Male,1938.0,1997.0,59.0
679,761,Raymond Breinin,American,Male,1910.0,2000.0,90.0
680,762,Joseph Breitenbach,American,Male,1896.0,1984.0,88.0
683,766,Miguel Bresciano,Uruguayan,Male,1937.0,1979.0,42.0
684,767,Rodolphe Bresdin,French,Male,1822.0,1885.0,63.0
685,768,André Breton,French,Male,1896.0,1966.0,70.0
686,769,Marcel Breuer,American,Male,1902.0,1981.0,79.0
687,771,William Brice,American,Male,1921.0,2008.0,87.0
693,777,Anne W. Brigman,American,Female,1869.0,1950.0,81.0
694,778,Serge Brignoni,Swiss,Male,1903.0,2002.0,99.0
697,781,Horace Bristol,American,Male,1908.0,1997.0,89.0
699,783,René Brô,French,Male,1930.0,1987.0,57.0
701,785,Gottfried Brockmann,German,Male,1903.0,1983.0,80.0
702,787,Gandy Brodie,American,Male,1925.0,1975.0,50.0
703,788,Alexey Brodovitch,American,Male,1898.0,1971.0,73.0
707,792,Horace Brodzky,American,Male,1885.0,1969.0,84.0
709,794,Robert Broner,American,Male,1922.0,2010.0,88.0
710,795,Marcel Broodthaers,Belgian,Male,1924.0,1976.0,52.0
711,796,Alexander Brook,American,Male,1898.0,1980.0,82.0
713,798,James Brooks,American,Male,1906.0,1992.0,86.0
714,799,Milton Brooks,American,Male,1901.0,1956.0,55.0
716,801,Harry Brorby,American,Male,1927.0,2012.0,85.0
717,802,Joan Brossa,Spanish,Male,1919.0,1998.0,79.0
719,804,Arthur William Brown,American,Male,1881.0,1966.0,85.0
722,807,Joan Brown,American,Female,1938.0,1990.0,52.0
726,811,Roger Brown,American,Male,1941.0,1997.0,56.0
728,814,Byron Browne,American,Male,1907.0,1961.0,54.0
730,816,Robert Brownjohn,American,Male,1925.0,1970.0,45.0
731,817,Kenneth Brozen,American,Male,1927.0,1989.0,62.0
734,820,Jon O. Brubaker,American,Male,1875.0,1953.0,78.0
735,821,Patrick Henry Bruce,American,Male,1881.0,1936.0,55.0
736,822,Anton Bruehl,American,Male,1900.0,1982.0,82.0
737,824,Francis Bruguière,American,Male,1879.0,1945.0,66.0
741,828,Donald Brun,Swiss,Male,1909.0,1999.0,90.0
742,829,Peter Brüning,German,Male,1929.0,1970.0,41.0
745,832,Norman Bruns,American,Male,1921.0,2005.0,84.0
748,835,Wim Brusse,Dutch,Male,1910.0,1978.0,68.0
750,837,Camille Bryen,French,Female,1907.0,1976.0,69.0
751,838,Tadeusz Brzozowski,Polish,Male,1918.0,1987.0,69.0
755,842,Gustave Buchet,Swiss,Male,1888.0,1963.0,75.0
756,843,Carl Buchheister,German,Male,1890.0,1964.0,74.0
757,844,Erich Buchholz,German,Male,1891.0,1972.0,81.0
760,847,John Buckland-Wright,British,Male,1897.0,1954.0,57.0
761,848,Peter H. Buckley,American,Male,1925.0,1991.0,66.0
763,850,David Budd,American,Male,1927.0,1991.0,64.0
766,853,Eugene Buechel,American,Male,1874.0,1954.0,80.0
