,Artist ID,Name,Nationality,Gender,Birth Year,Death Year,age
12089,36881,Noémi Raymond,American,Female,1889.0,1980.0,91.0
12092,36921,Auguste Belloc,French,Male,1800.0,1867.0,67.0
12093,36922,Paul Marcellin Berthier,French,Male,1822.0,1912.0,90.0
12094,36924,Alphonse Bertillon,French,Male,1853.0,1914.0,61.0
12095,36925,Eugène Constant,French,Male,1840.0,1879.0,39.0
12096,36926,Louis-Joseph Deflube,French,Male,1797.0,1884.0,87.0
12097,36927,Frédéric A. Flacheron,French,Male,1813.0,1883.0,70.0
12098,36928,André Giroux,French,Male,1801.0,1879.0,78.0
12099,36929,Paul Henry,French,Male,1848.0,1902.0,54.0
12100,36930,Auguste Vacquerie,French,Male,1819.0,1895.0,76.0
12101,36931,Louis Adolphe Humbert de Molard,French,Male,1800.0,1874.0,74.0
12102,36932,Jean-Charles Langlois,French,Male,1789.0,1870.0,81.0
12106,36942,Henning Christiansen,Danish,Male,1932.0,2008.0,76.0
12107,36943,Giuseppe Chiari,Italian,Male,1926.0,2007.0,81.0
12111,36948,Terry Jennings,American,Male,1940.0,1981.0,41.0
12112,36949,György Sándor Ligeti,Austrian,Male,1923.0,2006.0,83.0
12114,36951,Pierre Mercure,Canadian,Male,1927.0,1966.0,39.0
12115,36952,Heinz-Klaus Metzger,German,Male,1932.0,2009.0,77.0
12116,36953,Gabriel de Rumine,Swiss,Male,1841.0,1871.0,30.0
12117,36954,Pierre Trémaux,French,Male,1818.0,1895.0,77.0
12118,36955,Tomas Schmit,German,Male,1943.0,2006.0,63.0
12120,36957,Karlheinz Stockhausen,German,Male,1938.0,2007.0,69.0
12121,36958,James Tenney,American,Male,1934.0,2006.0,72.0
12126,36965,Jerzy Flisak,Polish,Male,1930.0,2008.0,78.0
12134,36991,Kathy Acker,American,Female,1947.0,1997.0,50.0
12139,36999,Genpei Akasegawa,Japanese,Male,1937.0,2014.0,77.0
12142,37002,Alice Hutchins,American,Female,1916.0,2009.0,93.0
12144,37004,Carla Liss,American,Female,1944.0,2012.0,68.0
12146,37006,Peter Moore,American,Male,1932.0,1993.0,61.0
12153,37017,Salvo (Salvatore Mangione),Italian,Male,1947.0,2015.0,68.0
12155,37020,Sarah Watt,Australian,Female,1958.0,2011.0,53.0
12163,37034,Peter Hutton,American,Male,1944.0,2016.0,72.0
12171,37048,Storm de Hirsch,American,Female,1912.0,2000.0,88.0
12193,37116,Otto von Kursell,German,Male,1884.0,1967.0,83.0
12195,37144,Kuniharu Akiyama,Japanese,Male,1929.0,1996.0,67.0
12197,37153,Emil Pottner,Austrian,Male,1872.0,1942.0,70.0
12198,37154,Paul Bach,German,Male,1866.0,1919.0,53.0
12199,37155,Adolf Edward Herstein,Polish,Male,1869.0,1932.0,63.0
12203,37178,Paul Nadar,French,Male,1856.0,1939.0,83.0
12204,37179,Martín Ramírez,Mexican,Male,1895.0,1963.0,68.0
12206,37183,Julien Vallou de Villeneuve,French,Male,1795.0,1866.0,71.0
12210,37249,William Crosby Renwick,American,Male,1914.0,1992.0,78.0
12217,37281,Robert Wiene,German,Male,1873.0,1938.0,65.0
12218,37287,Prospère Henry,French,Male,1849.0,1903.0,54.0
12219,37288,Auguste Mestral,French,Male,1812.0,1884.0,72.0
12220,37290,Werner Graul,German,Male,1905.0,1984.0,79.0
12243,37368,Dankmar Adler,American,Male,1844.0,1900.0,56.0
12250,37440,Edward Krasiński,Polish,Male,1925.0,2004.0,79.0
12254,37495,György Konecsni,Hungarian,Male,1908.0,1970.0,62.0
12257,37498,Greg Sharits,American,Male,1945.0,1980.0,35.0
12260,37523,Elohim (Ely) Raman,Canadian,Male,1930.0,2007.0,77.0
12262,37535,Anton Furst,British,Male,1944.0,1991.0,47.0
12267,37552,Leonard Freed,American,Male,1929.0,2006.0,77.0
12269,37557,Holger Nielsen,Danish,Male,1917.0,1992.0,75.0
12272,37582,Margaret Macdonald,British,Female,1865.0,1933.0,68.0
12299,37679,Raymond Jacobs,American,Male,1923.0,1993.0,70.0
12302,37694,Jean Tschumi,Swiss,Male,1904.0,1962.0,58.0
12303,37695,Edouard-Marcel Sandoz,Swiss,Male,1881.0,1971.0,90.0
12306,37702,Jack Goldstein,Canadian,Male,1945.0,2003.0,58.0
12308,37706,Elizaveta Ignatovich,Russian,Female,1903.0,1983.0,80.0
12313,37732,Ingmar Bergman,Swedish,Male,1918.0,2007.0,89.0
